2019-06-30 21:38:58 | Avvio del server

2019-06-30 21:39:01 | Socket numero: 15 | Nuova connessione accettata
2019-06-30 21:39:07 | Socket numero: 15 | Connessione interrotta
2019-07-01 07:29:43 | Avvio del server

2019-07-01 07:31:37 | Socket numero: 15 | Nuova connessione accettata

2019-07-01 07:31:37 | Socket numero: 19 | Nuova connessione accettata
2019-07-01 07:31:37 | Socket numero: 15 | Connessione interrotta

2019-07-01 07:31:37 | Socket numero: 20 | Nuova connessione accettata

2019-07-01 07:31:37 | Socket numero: 15 | Nuova connessione accettata

2019-07-01 07:31:37 | Socket numero: 21 | Nuova connessione accettata

2019-07-01 07:31:37 | Socket numero: 22 | Nuova connessione accettata

2019-07-01 07:31:37 | Socket numero: 24 | Nuova connessione accettata
2019-07-01 07:31:43 | Socket numero: 21 | Connessione interrotta
2019-07-01 07:31:47 | Socket numero: 15 | Connessione interrotta
2019-07-01 07:31:47 | Socket numero: 24 | Connessione interrotta
2019-07-01 07:31:47 | Socket numero: 19 | Connessione interrotta
2019-07-01 07:31:47 | Socket numero: 20 | Connessione interrotta
2019-07-01 07:31:48 | Socket numero: 22 | Connessione interrotta

2019-07-01 07:32:18 | Socket numero: 25 | Nuova connessione accettata

2019-07-01 07:32:18 | Socket numero: 15 | Nuova connessione accettata
2019-07-01 07:32:18 | Socket numero: 25 | Connessione interrotta
2019-07-01 07:32:23 | Socket numero: 15 | Connessione interrotta
2019-07-01 07:34:47 | Chiusura del server
