
2019-05-23 11:16:54 | Socket numero: 15 | Nuova connessione accettata
2019-05-23 11:17:08 | Socket numero: 15 | Connessione interrotta

2019-05-23 11:20:35 | Socket numero: 15 | Nuova connessione accettata

2019-05-23 11:20:35 | Socket numero: 19 | Nuova connessione accettata

2019-05-23 11:20:35 | Socket numero: 20 | Nuova connessione accettata

2019-05-23 11:20:35 | Socket numero: 21 | Nuova connessione accettata

2019-05-23 11:20:35 | Socket numero: 22 | Nuova connessione accettata

2019-05-23 11:20:35 | Socket numero: 24 | Nuova connessione accettata
2019-05-23 11:20:36 | Socket numero: 24 | Connessione interrotta
2019-05-23 11:20:36 | Socket numero: 19 | Connessione interrotta

2019-05-23 11:20:36 | Socket numero: 26 | Nuova connessione accettata

2019-05-23 11:20:36 | Socket numero: 25 | Nuova connessione accettata
2019-05-23 11:20:36 | Socket numero: 25 | Connessione interrotta

2019-05-23 11:20:36 | Socket numero: 24 | Nuova connessione accettata
2019-05-23 11:20:36 | Socket numero: 20 | Connessione interrotta

2019-05-23 11:20:36 | Socket numero: 28 | Nuova connessione accettata

2019-05-23 11:20:36 | Socket numero: 30 | Nuova connessione accettata

2019-05-23 11:20:36 | Socket numero: 19 | Nuova connessione accettata

2019-05-23 11:20:36 | Socket numero: 20 | Nuova connessione accettata

2019-05-23 11:20:36 | Socket numero: 25 | Nuova connessione accettata
2019-05-23 11:20:36 | Socket numero: 15 | Connessione interrotta
2019-05-23 11:20:36 | Socket numero: 25 | Connessione interrotta

2019-05-23 11:20:36 | Socket numero: 31 | Nuova connessione accettata

2019-05-23 11:20:36 | Socket numero: 27 | Nuova connessione accettata
2019-05-23 11:20:37 | Socket numero: 19 | Connessione interrotta

2019-05-23 11:20:37 | Socket numero: 15 | Nuova connessione accettata
2019-05-23 11:20:37 | Socket numero: 15 | Connessione interrotta

2019-05-23 11:20:37 | Socket numero: 29 | Nuova connessione accettata
2019-05-23 11:20:37 | Socket numero: 26 | Connessione interrotta
2019-05-23 11:20:37 | Socket numero: 24 | Connessione interrotta

2019-05-23 11:20:37 | Socket numero: 34 | Nuova connessione accettata

2019-05-23 11:20:37 | Socket numero: 24 | Nuova connessione accettata
2019-05-23 11:20:37 | Socket numero: 31 | Connessione interrotta

2019-05-23 11:20:37 | Socket numero: 19 | Nuova connessione accettata
2019-05-23 11:20:37 | Socket numero: 27 | Connessione interrotta

2019-05-23 11:20:37 | Socket numero: 15 | Nuova connessione accettata
2019-05-23 11:20:37 | Socket numero: 20 | Connessione interrotta
2019-05-23 11:20:37 | Socket numero: 15 | Connessione interrotta

2019-05-23 11:20:37 | Socket numero: 27 | Nuova connessione accettata

2019-05-23 11:20:37 | Socket numero: 15 | Nuova connessione accettata
2019-05-23 11:20:38 | Socket numero: 29 | Connessione interrotta
2019-05-23 11:20:38 | Socket numero: 30 | Connessione interrotta

2019-05-23 11:20:38 | Socket numero: 20 | Nuova connessione accettata

2019-05-23 11:20:38 | Socket numero: 25 | Nuova connessione accettata
2019-05-23 11:20:38 | Socket numero: 28 | Connessione interrotta

2019-05-23 11:20:38 | Socket numero: 26 | Nuova connessione accettata
2019-05-23 11:20:38 | Socket numero: 21 | Connessione interrotta

2019-05-23 11:20:38 | Socket numero: 28 | Nuova connessione accettata
2019-05-23 11:20:39 | Socket numero: 24 | Connessione interrotta
2019-05-23 11:20:39 | Socket numero: 22 | Connessione interrotta

2019-05-23 11:20:39 | Socket numero: 30 | Nuova connessione accettata

2019-05-23 11:20:39 | Socket numero: 21 | Nuova connessione accettata
2019-05-23 11:20:40 | Socket numero: 34 | Connessione interrotta
2019-05-23 11:20:40 | Socket numero: 26 | Connessione interrotta

2019-05-23 11:20:40 | Socket numero: 24 | Nuova connessione accettata

2019-05-23 11:20:40 | Socket numero: 22 | Nuova connessione accettata
2019-05-23 11:20:40 | Socket numero: 20 | Connessione interrotta
2019-05-23 11:20:40 | Socket numero: 24 | Connessione interrotta

2019-05-23 11:20:40 | Socket numero: 26 | Nuova connessione accettata

2019-05-23 11:20:40 | Socket numero: 24 | Nuova connessione accettata
2019-05-23 11:20:40 | Socket numero: 27 | Connessione interrotta

2019-05-23 11:20:40 | Socket numero: 29 | Nuova connessione accettata
2019-05-23 11:20:40 | Socket numero: 21 | Connessione interrotta
2019-05-23 11:20:40 | Socket numero: 19 | Connessione interrotta

2019-05-23 11:20:40 | Socket numero: 31 | Nuova connessione accettata

2019-05-23 11:20:40 | Socket numero: 20 | Nuova connessione accettata
2019-05-23 11:20:40 | Socket numero: 20 | Connessione interrotta

2019-05-23 11:20:40 | Socket numero: 27 | Nuova connessione accettata
2019-05-23 11:20:40 | Socket numero: 15 | Connessione interrotta

2019-05-23 11:20:40 | Socket numero: 33 | Nuova connessione accettata
2019-05-23 11:20:41 | Socket numero: 22 | Connessione interrotta

2019-05-23 11:20:41 | Socket numero: 19 | Nuova connessione accettata
2019-05-23 11:20:41 | Socket numero: 30 | Connessione interrotta
2019-05-23 11:20:41 | Socket numero: 29 | Connessione interrotta

2019-05-23 11:20:41 | Socket numero: 15 | Nuova connessione accettata

2019-05-23 11:20:41 | Socket numero: 20 | Nuova connessione accettata
2019-05-23 11:20:41 | Socket numero: 25 | Connessione interrotta

2019-05-23 11:20:41 | Socket numero: 21 | Nuova connessione accettata
2019-05-23 11:20:41 | Socket numero: 31 | Connessione interrotta

2019-05-23 11:20:41 | Socket numero: 30 | Nuova connessione accettata
2019-05-23 11:20:42 | Socket numero: 27 | Connessione interrotta
2019-05-23 11:20:42 | Socket numero: 24 | Connessione interrotta

2019-05-23 11:20:42 | Socket numero: 25 | Nuova connessione accettata

2019-05-23 11:20:42 | Socket numero: 22 | Nuova connessione accettata
2019-05-23 11:20:42 | Socket numero: 20 | Connessione interrotta
2019-05-23 11:20:42 | Socket numero: 30 | Connessione interrotta

2019-05-23 11:20:42 | Socket numero: 24 | Nuova connessione accettata

2019-05-23 11:20:42 | Socket numero: 20 | Nuova connessione accettata
2019-05-23 11:20:42 | Socket numero: 20 | Connessione interrotta
2019-05-23 11:20:42 | Socket numero: 19 | Connessione interrotta

2019-05-23 11:20:42 | Socket numero: 31 | Nuova connessione accettata

2019-05-23 11:20:42 | Socket numero: 27 | Nuova connessione accettata
2019-05-23 11:20:43 | Socket numero: 26 | Connessione interrotta

2019-05-23 11:20:43 | Socket numero: 29 | Nuova connessione accettata
